transakcja_id,konto_id,kwota,data_transakcji,kategoria_wydatku,metoda_platnosci,miasto_transakcji,kraj_transakcji,status_transakcji
500021,10782,23.07,2025-09-29 15:59:02,Zakupy Odzieżowe,BLIK,Zabrze,Polska,Zakonczona
500022,10161,11.11,2025-07-10 06:21:56,Paliwo i Transport,Karta,Orzesze,Polska,Zakonczona
500023,11227,460.37,2025-07-16 10:46:58,Elektronika,Online,,,Zakonczona
500024,10582,,2025-06-17 09:03:44,Przelew,BLIK,,,
500025,10034,8849.76,2025-08-07 07:57:39,Supermarkety,Karta,Paryż,Francja,Zakonczona
500026,10232,3685.92,2025-12-13 06:15:33,Paliwo i Transport,Karta,Warszawa,Polska,Zakonczona
500027,10676,64.99,2025-11-17 17:20:10,Elektronika,BLIK,Sosnowiec,Polska,Zakonczona
500028,11219,22.24,2025-11-05 07:29:32,Supermarkety,Karta,Tychy,Polska,Zakonczona
500029,10003,49.23,2025-11-09 13:05:56,Restauracje i Bary,BLIK,Rybnik,Polska,Zakonczona
500030,10920,77.35,2025-01-17 14:31:46,Restauracje i Bary,BLIK,Gliwice,Polska,Zakonczona
500031,11298,,2025-08-16 21:08:15,Supermarkety,Online,,,
500032,10383,88.56,2025-07-31 06:48:29,Paliwo i Transport,BLIK,Chorzów,Polska,Zakonczona
500033,10075,10168.82,2025-10-25 14:56:22,Rozrywka i Streaming,Karta,Rzym,Włochy,Zakonczona
500034,10819,6225.74,2025-01-13 14:18:15,Supermarkety,Karta,Berlin,Niemcy,Zakonczona
500035,11292,33.43,2025-12-15 17:13:53,Supermarkety,Karta,Gliwice,Polska,Zakonczona
500036,11298,25.64,2025-07-02 12:08:37,Zakupy Odzieżowe,BLIK,Katowice,Polska,Zakonczona
500037,10390,1989.3,2025-05-10 12:32:23,Zakupy Odzieżowe,Karta,Zabrze,Polska,Zakonczona
500038,10087,77.92,2025-04-06 06:44:42,Supermarkety,Karta,Zabrze,Polska,Zakonczona
500039,10607,50.59,2025-11-21 11:07:19,Przelew,Przelew Krajowy,,,Zakonczona
500040,10028,56.36,2025-09-22 06:41:09,Paliwo i Transport,BLIK,Sosnowiec ,Polska,Zakonczona
500041,10391,4629.75,2025-10-29 13:55:40,Supermarkety,BLIK,Gliwice,Polska,Zakonczona
500042,10822,,2025-12-31 19:39:21,Przelew,Przelew Krajowy,,,
500043,10094,137.9,2025-09-17 13:04:44,Elektronika,BLIK,Chorzów,Polska,Odrzucona
500044,11020,8.72,2025-04-04 23:47:16,Elektronika,Karta,Tychy,Polska,Zakonczona
500045,11483,,2025-08-02 11:28:05,Przelew,Karta,,,
500046,10720,79.36,2025-01-06 10:45:51,Supermarkety,BLIK,Sosnowiec,Polska,Zakonczona
500047,10579,,2025-11-01 21:39:53,Przelew,Karta,,,
500048,10399,32.55,2025-09-02 12:32:06,Edukacja,Karta,Tychy,Polska,Zakonczona
500049,11223,49.94,2025-10-18 06:41:43,Paliwo i Transport,Karta,Rybnik,Polska,Zakonczona
500050,11476,59.77,2025-08-23 18:40:12,Restauracje i Bary,BLIK,Orzesze,Polska,Zakonczona
500051,10557,20.13,2025-11-08 08:26:16,Paliwo i Transport,Karta,Wrocław,Polska,Zakonczona
500052,10083,53.78,2025-12-30 05:52:00,Elektronika,Online,,,Zakonczona
500053,10175,133.9,2025-05-11 08:11:56,Supermarkety,Karta,Orzesze,Polska,Zakonczona
500054,10889,128.45,2025-12-15 07:41:08,Paliwo i Transport,BLIK,Gliwice,Polska,Zakonczona
500055,10778,,2025-06-11 20:22:52,Przelew,BLIK,,,
500056,10916,238.46,2025-08-20 11:09:49,Edukacja,BLIK,Zabrze,Polska,Odrzucona
500057,10189,20.74,2025-12-26 20:50:22,Restauracje i Bary,Karta,Chorzów,Polska,Zakonczona
500058,10799,93.27,2025-02-16 10:44:51,Edukacja,BLIK,KATOWICE  ,Polska,Zakonczona
500059,10020,29.21,2025-07-23 06:00:04,Paliwo i Transport,BLIK,Rybnik,Polska,Zakonczona
500060,10583,51.37,2025-09-20 08:50:45,Paliwo i Transport,BLIK,Katowice,Polska,Zakonczona
500061,11030,,2025-04-16 12:48:58,Przelew,Karta,,,
500062,10041,195.29,2025-03-05 15:25:15,Elektronika,BLIK,Mikołów,Polska,Zakonczona
500063,10022,17.22,2025-10-14 12:36:39,Edukacja,Online,,,Zakonczona
500064,11029,127.1,2025-04-24 08:09:02,Paliwo i Transport,BLIK,Gliwice,Polska,Zakonczona
500065,10647,16.97,2025-06-01 15:15:01,Supermarkety,Online,,,Zakonczona
500066,10645,341.81,2025-01-27 13:52:20,Supermarkety,Karta,KATOWICE  ,Polska,Zakonczona
500067,10387,58.13,2025-06-24 15:34:19,Elektronika,BLIK,Mikołów,Polska,Zakonczona
500068,10400,50.52,2025-09-03 12:42:56,Zakupy Odzieżowe,BLIK, Gliwice,Polska,Zakonczona
500069,10554,74.59,2025-09-26 09:29:59,Paliwo i Transport,Karta,Gliwice,Polska,Zakonczona
500070,10886,37.89,2025-11-29 18:28:36,Rozrywka i Streaming,Karta,Katowice,Polska,Zakonczona
500071,10128,39.05,2025-06-12 11:41:34,Edukacja,Online,,,Zakonczona
500072,10324,299.14,2025-07-07 15:08:35,Zakupy Odzieżowe,BLIK,Sosnowiec,Polska,Zakonczona
500073,11360,33.64,2025-07-06 08:44:09,Supermarkety,Karta,Rybnik,Polska,Zakonczona
500074,11315,65.94,2025-04-26 06:44:04,Paliwo i Transport,Online,,,Zakonczona
500075,10691,65.95,2025-02-20 09:44:04,Paliwo i Transport,BLIK,Orzesze,Polska,Zakonczona
500076,10967,56.69,2025-06-26 08:07:34,Supermarkety,BLIK,gliwice,Polska,Zakonczona
500077,11119,28.56,2025-10-03 07:17:03,Supermarkety,Karta,katowice,Polska,Zakonczona
500078,10117,97.04,2025-12-23 19:00:54,Elektronika,Online,,,Zakonczona
500079,11071,32.99,2025-08-02 07:38:22,Paliwo i Transport,Karta,Chorzów,Polska,Zakonczona
500080,10979,,2025-06-09 17:31:06,Elektronika,Online,,,
500081,11114,20.96,2025-07-17 15:58:42,Zakupy Odzieżowe,BLIK,Mikołów,Polska,Odrzucona
500082,10794,,2025-01-07 08:18:08,Paliwo i Transport,Online,,,
500083,10832,49.93,2025-12-21 11:19:21,Zdrowie i Apteki,BLIK,Chorzów,Polska,Zakonczona
500084,11106,49.24,2025-06-24 10:04:05,Edukacja,Karta,Chorzów,Polska,Zakonczona
500085,11189,56.63,2025-07-03 17:57:33,Zdrowie i Apteki,BLIK,Katowice,Polska,Zakonczona
500086,11259,20.5,2025-08-27 06:11:34,Paliwo i Transport,Karta,Rybnik,Polska,Zakonczona
500087,11433,75.24,2025-07-11 14:53:27,Rozrywka i Streaming,BLIK,Bytom,Polska,Zakonczona
500088,11385,75.47,2025-12-11 05:13:10,Rachunki i Opłaty,Online,,,Zakonczona
500089,10587,13.83,2025-04-12 07:56:07,Paliwo i Transport,BLIK,Rybnik,Polska,Zakonczona
500090,10186,4508.1,2025-12-31 15:57:08,Elektronika,BLIK,Rybnik,Polska,Zakonczona
500091,11103,20.22,2025-01-15 22:32:36,Przelew,Przelew Krajowy,,,Zakonczona
500092,10268,28.31,2025-10-24 09:52:34,Paliwo i Transport,BLIK,Gliwice,Polska,Zakonczona
500093,11350,44.75,2025-03-22 10:14:23,Edukacja,Karta,Mikołów,Polska,Zakonczona
500094,10124,77.57,2025-04-20 18:29:15,Restauracje i Bary,Online,,,Zakonczona
500095,11179,15.28,2025-04-25 15:50:49,Rozrywka i Streaming,Karta,Zabrze,Polska,Zakonczona
500096,11022,533.72,2025-11-09 17:45:19,Restauracje i Bary,BLIK,Orzesze,Polska,Zakonczona
500097,11155,60.52,2025-08-10 06:26:25,Supermarkety,BLIK,Poznań,Polska,Zakonczona
500098,11342,126.92,2025-04-27 17:42:41,Restauracje i Bary,BLIK,Zabrze,Polska,Zakonczona
500099,10281,92.24,2025-01-31 20:42:11,Rozrywka i Streaming,BLIK,Rybnik,Polska,Zakonczona
500100,10710,13627.38,2025-07-29 06:41:00,Paliwo i Transport,Karta,Nowy Jork,USA,Zakonczona
500101,10514,11.13,2025-07-05 09:52:43,Paliwo i Transport,BLIK,Bytom,Polska,Zakonczona
500102,11493,71.31,2025-08-15 11:39:37,Elektronika,BLIK,Mikołów,Polska,Zakonczona
500103,10395,45.71,2025-05-12 08:29:23,Paliwo i Transport,BLIK,Gliwice,Polska,Zakonczona
500104,10734,44.71,2025-11-22 22:56:02,Restauracje i Bary,Online,,,Zakonczona
500105,10120,68.76,2025-07-11 06:16:02,Paliwo i Transport,BLIK,Mikołów,Polska,Zakonczona
500106,11014,57.9,2025-11-18 12:13:34,Zakupy Odzieżowe,Karta,Chorzów,Polska,Zakonczona
500107,10535,45.83,2025-02-10 21:02:57,Zakupy Odzieżowe,Karta,gliwice,Polska,Zakonczona
500108,10477,118.37,2025-07-02 16:07:14,Przelew,Przelew Krajowy,,,Zakonczona
500109,10026,59.84,2025-05-17 21:44:20,Restauracje i Bary,Karta,Mikołów,Polska,Zakonczona
500110,10461,21.8,2025-07-15 09:00:26,Supermarkety,Karta,Bytom,Polska,Zakonczona
500111,10447,59.88,2025-08-19 08:55:43,Paliwo i Transport,Online,,,Zakonczona
500112,11151,61.37,2025-04-18 14:16:45,Restauracje i Bary,Karta,Rybnik,Polska,Zakonczona
500113,10984,142.29,2025-04-30 06:15:43,Paliwo i Transport,BLIK,Rybnik,Polska,Zakonczona
500114,10749,32.49,2025-12-10 11:30:13,Edukacja,Karta,Mikołów,Polska,Zakonczona
500115,11130,,2025-03-06 07:40:38,Przelew,Karta,,,
500116,10845,339.13,2025-10-17 11:57:21,Edukacja,Karta,Sosnowiec,Polska,Zakonczona
500117,11311,43.0,2025-07-01 13:24:55,Edukacja,Online,,,Zakonczona
500118,10987,71.42,2025-10-28 09:30:55,Supermarkety,Karta,Tychy,Polska,Zakonczona
500119,11160,467.7,2025-04-24 11:53:09,Supermarkety,BLIK,KATOWICE  ,Polska,Zakonczona
500120,10382,591.09,2025-02-08 13:51:45,Restauracje i Bary,BLIK,Berlin,Niemcy,Zakonczona
500121,10089,1541.57,2025-02-27 16:42:36,Edukacja,Karta,Sosnowiec,Polska,Zakonczona
500122,10758,44.19,2025-06-10 06:59:45,Paliwo i Transport,Online,,,Odrzucona
500123,10076,6716.75,2025-12-09 07:39:10,Paliwo i Transport,Karta,Nowy Jork,USA,Zakonczona
500124,11058,41.52,2025-05-21 09:04:29,Supermarkety,Karta,Gliwice,Polska,Zakonczona
500125,11291,17.54,2025-08-05 17:23:46,Supermarkety,Karta,Katowice,Polska,Zakonczona
500126,10661,,2025-02-25 14:09:49,Przelew,BLIK,,,
500127,10204,27.51,2025-07-03 11:53:35,Przelew,Przelew Krajowy,,,Zakonczona
500128,10414,228.37,2025-07-19 08:58:52,Supermarkety,Karta,Rybnik,Polska,Zakonczona
500129,11437,112.59,2025-07-31 12:37:53,Edukacja,BLIK,Rybnik,Polska,Zakonczona
500130,10657,95.08,2025-10-28 18:50:21,Supermarkety,Karta,Sosnowiec,Polska,Zakonczona
500131,10433,139.13,2025-04-08 10:51:02,Zakupy Odzieżowe,Online,,,Zakonczona
500132,11451,71.87,2025-04-17 06:32:49,Supermarkety,Online,,,Zakonczona
500133,10311,69.67,2025-06-24 08:07:26,Paliwo i Transport,BLIK,katowice,Polska,Zakonczona
500134,10701,135.59,2025-12-13 00:53:41,Elektronika,Online,,,Zakonczona
500135,10760,52.6,2025-08-09 09:30:01,Paliwo i Transport,BLIK, Gliwice,Polska,Zakonczona
500136,10434,422.15,2025-11-03 11:59:05,Supermarkety,BLIK,Wrocław,Polska,Zakonczona
500137,11229,55.02,2025-04-21 09:34:46,Supermarkety,BLIK,Chorzów,Polska,Zakonczona
500138,11194,215.05,2025-09-12 09:10:02,Paliwo i Transport,Karta,Rybnik,Polska,Zakonczona
500139,10728,41.74,2025-01-15 18:31:51,Supermarkety,BLIK,Tychy  ,Polska,Zakonczona
500140,10964,62.86,2025-12-04 08:23:17,Paliwo i Transport,Karta,Tychy,Polska,Zakonczona
500141,10290,37.1,2025-06-27 08:22:25,Supermarkety,BLIK,Orzesze,Polska,Zakonczona
500142,10575,75.69,2025-12-06 14:31:48,Restauracje i Bary,Karta,Katowice,Polska,Zakonczona
500143,10180,36.65,2025-09-02 07:44:54,Paliwo i Transport,Online,,,Zakonczona
500144,10924,305.6,2025-12-22 22:18:28,Przelew,Przelew Krajowy,,,Zakonczona
500145,10351,36.16,2025-07-28 06:56:19,Paliwo i Transport,BLIK,Tychy,Polska,Zakonczona
500146,10170,34.39,2025-10-14 11:51:51,Zakupy Odzieżowe,Karta,Orzesze,Polska,Zakonczona
500147,10778,1787.93,2025-01-31 07:25:04,Paliwo i Transport,Karta,Katowice,Polska,Zakonczona
500148,10382,33.74,2025-01-31 00:27:24,Rozrywka i Streaming,Online,,,Zakonczona
500149,10053,44.35,2025-04-24 14:25:16,Zdrowie i Apteki,Karta,Mikołów,Polska,Zakonczona
500150,10534,414.43,2025-01-28 23:09:47,Elektronika,Karta,Zabrze,Polska,Zakonczona
500151,10142,532.71,2025-12-12 06:46:50,Supermarkety,Karta,Mikołów,Polska,Zakonczona
500152,10650,72.07,2025-07-01 18:00:34,Przelew,Przelew Krajowy,,,Zakonczona
500153,11166,,2025-07-12 11:48:51,Przelew,BLIK,,,
500154,10190,391.77,2025-03-25 20:36:47,Rachunki i Opłaty,Online,,,Zakonczona
500155,10956,40.76,2025-10-28 09:20:09,Paliwo i Transport,Karta,Bytom,Polska,Zakonczona
500156,10666,,2025-07-28 22:06:40,Elektronika,Online,,,
500157,10138,,2025-07-04 17:12:50,Przelew,Karta,,,
500158,11097,18.55,2025-04-16 06:47:47,Supermarkety,Karta,Orzesze,Polska,Zakonczona
500159,11357,75.79,2025-11-13 18:12:46,Zdrowie i Apteki,Karta,Tychy,Polska,Zakonczona
500160,10396,57.35,2025-06-28 23:25:19,Elektronika,Karta,Orzesze,Polska,Zakonczona
500161,10958,50.06,2025-02-10 08:52:35,Paliwo i Transport,BLIK,Gliwice,Polska,Zakonczona
500162,10539,45.89,2025-03-22 02:50:17,Rozrywka i Streaming,Online,,,Zakonczona
500163,11378,672.46,2025-04-20 07:34:38,Paliwo i Transport,BLIK,Tychy,Polska,Zakonczona
500164,10068,17.99,2025-02-17 10:01:00,Zakupy Odzieżowe,Online,,,Zakonczona
500165,11429,72.32,2025-04-05 15:54:12,Restauracje i Bary,Karta,Mikołów,Polska,Zakonczona
500166,10236,62.77,2025-06-13 10:35:15,Zakupy Odzieżowe,Karta,Chorzów,Polska,Zakonczona
500167,10970,70.42,2025-05-28 21:42:39,Edukacja,BLIK,Orzesze,Polska,Zakonczona
500168,11432,526.6,2025-01-01 11:44:44,Elektronika,Karta,Katowice,Polska,Zakonczona
500169,10225,25.78,2025-10-29 10:30:12,Zdrowie i Apteki,BLIK,Sosnowiec,Polska,Zakonczona
500170,10026,45.59,2025-02-18 09:04:42,Paliwo i Transport,Karta,KATOWICE  ,Polska,Zakonczona
500171,10520,47.79,2025-04-17 16:07:06,Edukacja,Karta,Bytom,Polska,Zakonczona
500172,11095,225.66,2025-07-13 14:44:25,Rozrywka i Streaming,Online,,,Zakonczona
500173,11487,44.03,2025-07-08 11:58:46,Przelew,Przelew Krajowy,,,Zakonczona
500174,11464,22.25,2025-11-26 18:01:17,Zdrowie i Apteki,Online,,,Zakonczona
500175,10603,337.5,2025-06-13 17:21:27,Restauracje i Bary,BLIK,Poznań,Polska,Zakonczona
500176,11369,358.71,2025-01-26 13:23:56,Restauracje i Bary,Karta,Orzesze,Polska,Zakonczona
500177,10984,3059.73,2025-11-12 15:42:57,Edukacja,Online,,,Zakonczona
500178,10426,59.4,2025-06-17 06:40:38,Paliwo i Transport,BLIK,Orzesze,Polska,Zakonczona
500179,10189,42.67,2025-04-15 09:07:38,Paliwo i Transport,Karta,Chorzów,Polska,Zakonczona
500180,10596,53.39,2025-09-23 20:46:35,Zdrowie i Apteki,BLIK,Tychy,Polska,Zakonczona
500181,10385,70.68,2025-09-10 13:56:41,Przelew,Przelew Krajowy,,,Zakonczona
500182,10276,45.61,2025-12-08 20:17:46,Supermarkety,BLIK, Gliwice,Polska,Zakonczona
500183,11304,43.49,2025-07-14 11:01:22,Elektronika,BLIK,Sosnowiec,Polska,Zakonczona
500184,10926,68.21,2025-08-25 17:03:24,Przelew,Przelew Krajowy,,,Zakonczona
500185,10656,45.39,2025-03-19 17:50:43,Przelew,Przelew Krajowy,,,Zakonczona
500186,10450,53.54,2025-01-10 06:13:14,Paliwo i Transport,BLIK,Rybnik,Polska,Zakonczona
500187,10706,22.85,2025-08-23 12:58:46,Elektronika,BLIK,Rybnik,Polska,Zakonczona
500188,10139,20.79,2025-11-09 10:56:47,Przelew,Przelew Krajowy,,,Zakonczona
500189,11242,14.0,2025-12-11 07:20:31,Supermarkety,BLIK,Orzesze,Polska,Zakonczona
500190,10098,464.35,2025-11-26 18:02:17,Edukacja,BLIK,Bytom,Polska,Zakonczona
500191,10686,130.15,2025-06-28 23:51:46,Przelew,Przelew Krajowy,,,Zakonczona
500192,10386,62.36,2025-10-14 16:30:26,Zakupy Odzieżowe,Karta,Mikołów,Polska,Zakonczona
500193,10047,36.5,2025-07-08 10:51:25,Edukacja,Karta,Katowice,Polska,Zakonczona
500194,10127,283.82,2025-03-16 11:40:35,Supermarkety,Online,,,Zakonczona
500195,10074,19.66,2025-04-17 13:38:29,Elektronika,Karta,Mikołów,Polska,Zakonczona
500196,11137,2354.88,2025-10-04 07:18:31,Supermarkety,Karta,Mikołów,Polska,Zakonczona
500197,10463,74.7,2025-02-24 21:53:54,Supermarkety,BLIK,Chorzów,Polska,Zakonczona
500198,10800,,2025-08-15 17:47:39,Przelew,BLIK,,,
500199,10609,19.54,2025-07-08 17:19:35,Zdrowie i Apteki,Karta,Gliwice,Polska,Zakonczona
500200,11178,67.81,2025-03-04 09:47:27,Paliwo i Transport,Karta,Zabrze,Polska,Zakonczona
500201,10199,61.79,2025-02-04 20:01:39,Supermarkety,BLIK,Tychy,Polska,Zakonczona
500202,10128,69.74,2025-01-19 14:51:44,Supermarkety,BLIK,Orzesze,Polska,Zakonczona
500203,11411,14.56,2025-05-31 10:18:10,Przelew,Przelew Krajowy,,,Zakonczona
500204,10372,48.24,2025-12-02 05:05:46,Rozrywka i Streaming,Online,,,Zakonczona
500205,11420,123.71,2025-02-05 10:03:23,Przelew,Przelew Krajowy,,,Zakonczona
500206,11471,5967.63,2025-08-03 09:10:40,Supermarkety,Karta,Berlin,Niemcy,Zakonczona
500207,11371,1010.89,2025-01-18 08:46:17,Paliwo i Transport,BLIK,Gliwice,Polska,Zakonczona
500208,10752,111.31,2025-10-03 15:45:23,Rozrywka i Streaming,BLIK,katowice,Polska,Zakonczona
500209,11384,72.51,2025-10-29 06:00:42,Paliwo i Transport,Karta,Rybnik,Polska,Zakonczona
500210,11423,,2025-10-22 07:11:45,Przelew,Karta,,,
500211,11352,6.37,2025-01-19 23:31:00,Edukacja,Karta,Tychy,Polska,Zakonczona
500212,10427,95.42,2025-07-10 23:50:29,Elektronika,BLIK,Bytom,Polska,Zakonczona
500213,11227,,2025-06-24 10:40:49,Przelew,BLIK,,,
500214,11363,70.77,2025-06-28 18:26:18,Restauracje i Bary,Karta,Zabrze,Polska,Zakonczona
500215,10374,307.71,2025-11-11 07:33:23,Supermarkety,Online,,,Zakonczona
500216,10603,320.17,2025-02-17 20:38:40,Rachunki i Opłaty,Online,,,Zakonczona
500217,10146,35.89,2025-03-20 11:45:21,Zakupy Odzieżowe,Karta,Tychy,Polska,Zakonczona
500218,11463,50.15,2025-12-13 06:03:15,Supermarkety,BLIK,Rzym,Włochy,Zakonczona
500219,10406,44.56,2025-12-18 09:41:54,Paliwo i Transport,BLIK,Tychy,Polska,Odrzucona
500220,11134,70.89,2025-12-06 06:03:53,Paliwo i Transport,Karta,Sosnowiec,Polska,Odrzucona
500221,10799,43.92,2025-12-29 18:06:21,Zakupy Odzieżowe,BLIK,Mikołów,Polska,Zakonczona
500222,11080,271.65,2025-05-07 12:26:03,Elektronika,BLIK,Zabrze,Polska,Zakonczona
500223,11467,70.49,2025-06-03 03:47:32,Elektronika,Online,,,Zakonczona
500224,10531,36.16,2025-03-16 14:58:32,Supermarkety,BLIK,Rybnik,Polska,Zakonczona
500225,10250,432.76,2025-01-17 15:12:44,Restauracje i Bary,BLIK,Zakopane,Polska,Zakonczona
500226,10127,33.02,2025-07-08 23:36:58,Elektronika,Karta,Kraków,Polska,Zakonczona
500227,11038,25.06,2025-03-13 22:17:32,Zakupy Odzieżowe,BLIK,gliwice,Polska,Zakonczona
500228,11354,60.71,2025-04-07 19:13:46,Elektronika,Karta,katowice,Polska,Odrzucona
500229,10892,18.49,2025-04-08 16:07:15,Elektronika,Karta,Bytom,Polska,Zakonczona
500230,10582,35.03,2025-07-11 22:48:33,Restauracje i Bary,BLIK,Tychy,Polska,Zakonczona
500231,11204,41.96,2025-03-24 06:07:18,Supermarkety,BLIK,Chorzów,Polska,Zakonczona
500232,10030,27.92,2025-12-04 17:42:33,Edukacja,Karta,Tychy  ,Polska,Zakonczona
500233,10884,223.9,2025-06-09 07:45:15,Paliwo i Transport,Karta,Poznań,Polska,Zakonczona
500234,10686,41.9,2025-11-14 09:51:24,Supermarkety,BLIK, Gliwice,Polska,Zakonczona
500235,10875,61.88,2025-12-23 09:37:17,Paliwo i Transport,Karta,Warszawa,Polska,Zakonczona
500236,10216,40.17,2025-02-24 07:17:20,Paliwo i Transport,Karta,Mikołów,Polska,Zakonczona
500237,11032,346.53,2025-11-29 18:26:04,Rozrywka i Streaming,Karta,Tychy,Polska,Zakonczona
500238,10495,397.0,2025-12-25 06:17:05,Paliwo i Transport,Online,,,Zakonczona
500239,10156,,2025-11-01 20:34:27,Supermarkety,Online,,,
500240,11328,29.3,2025-01-06 20:24:14,Edukacja,BLIK,Sosnowiec ,Polska,Zakonczona
500241,10832,11.56,2025-08-26 11:59:16,Edukacja,BLIK,Chorzów,Polska,Zakonczona
500242,10335,10.75,2025-12-05 22:49:29,Restauracje i Bary,Karta,Katowice,Polska,Zakonczona
500243,10635,43.73,2025-12-04 07:37:48,Paliwo i Transport,BLIK,Warszawa,Polska,Zakonczona
500244,10050,68.49,2025-10-09 23:13:13,Zdrowie i Apteki,Karta,Zabrze,Polska,Zakonczona
500245,11491,51.77,2025-11-15 03:16:11,Przelew,Przelew Krajowy,,,Zakonczona
500246,11309,12.56,2025-04-11 08:08:47,Supermarkety,BLIK,Wrocław,Polska,Zakonczona
500247,10907,34.35,2025-07-18 11:09:31,Elektronika,Online,,,Zakonczona
500248,11464,323.97,2025-01-29 11:36:33,Przelew,Przelew Krajowy,,,Zakonczona
500249,11197,75.69,2025-07-02 17:49:29,Edukacja,Karta,Tychy,Polska,Zakonczona
500250,11348,72.05,2025-01-12 16:15:44,Restauracje i Bary,BLIK,Tychy,Polska,Zakonczona
500251,11357,39.13,2025-09-19 20:23:58,Restauracje i Bary,Karta,Tychy,Polska,Zakonczona
500252,10309,309.64,2025-12-08 08:25:03,Paliwo i Transport,BLIK,Sosnowiec,Polska,Odrzucona
500253,10857,38.3,2025-08-16 15:08:08,Restauracje i Bary,Karta,Mikołów,Polska,Zakonczona
500254,10549,103.1,2025-09-14 18:17:57,Restauracje i Bary,BLIK,Tychy,Polska,Zakonczona
500255,11335,73.5,2025-02-17 20:24:56,Zdrowie i Apteki,BLIK,Gliwice,Polska,Zakonczona
500256,10620,59.12,2025-10-30 19:26:34,Przelew,Przelew Krajowy,,,Zakonczona
500257,11358,292.83,2025-12-03 06:47:07,Supermarkety,BLIK,Sosnowiec,Polska,Zakonczona
500258,10368,26.4,2025-05-11 22:57:30,Supermarkety,Karta,Gdańsk,Polska,Zakonczona
500259,10046,27.21,2025-04-26 20:51:19,Restauracje i Bary,Online,,,Zakonczona
500260,10151,119.53,2025-10-07 19:29:07,Zdrowie i Apteki,Karta,Chorzów,Polska,Zakonczona
500261,10739,55.99,2025-09-15 06:39:01,Supermarkety,Karta,Sosnowiec,Polska,Zakonczona
500262,11363,22.35,2025-08-19 10:51:51,Zakupy Odzieżowe,BLIK,Zabrze,Polska,Zakonczona
500263,11279,69.62,2025-08-02 12:00:43,Edukacja,Karta,Orzesze,Polska,Zakonczona
500264,10977,13.23,2025-07-14 09:48:53,Paliwo i Transport,Karta,Orzesze,Polska,Zakonczona
500265,10245,48.67,2025-12-14 18:01:18,Restauracje i Bary,Karta,Sosnowiec,Polska,Zakonczona
500266,10226,26.26,2025-09-07 12:38:49,Supermarkety,Online,,,Zakonczona
500267,10495,32.29,2025-12-29 08:55:22,Paliwo i Transport,Karta,Zakopane,Polska,Zakonczona
500268,10703,,2025-03-06 07:35:14,Przelew,Karta,,,
500269,10073,18.89,2025-01-07 22:57:57,Rachunki i Opłaty,Online,,,Zakonczona
500270,11067,8285.3,2025-01-06 06:00:08,Supermarkety,Karta,Paryż,Francja,Zakonczona
500271,10014,30.55,2025-03-28 22:01:05,Restauracje i Bary,BLIK,Zabrze,Polska,Zakonczona
500272,10116,190.24,2025-11-19 18:05:33,Edukacja,BLIK, Gliwice,Polska,Zakonczona
500273,10036,12.61,2025-08-05 11:22:11,Edukacja,BLIK,Sosnowiec,Polska,Zakonczona
500274,10518,14.69,2025-05-31 06:38:22,Supermarkety,BLIK,Mikołów,Polska,Odrzucona
500275,10777,85.71,2025-02-15 08:20:26,Supermarkety,BLIK,Rybnik,Polska,Odrzucona
